Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown2,MarkDown3,MarkDown4,Week
1,2010-05-02,25619,0,0,202505,4,2,0,0,0,17
1,2010-12-02,43749,1,0,202505,4,2,0,0,0,48
1,2010-02-19,34750,0,0,202505,6,2,0,0,0,7
1,2010-02-26,19896,0,0,202505,8,2,0,0,0,8
1,2010-05-03,22839,0,0,202505,9,2,0,0,0,18
1,2010-12-03,24071,0,0,202505,14,2,0,0,0,48
1,2010-03-19,26866,0,0,202505,13,2,0,0,0,11
1,2010-03-26,28291,0,0,202505,12,2,0,0,0,12
1,2010-02-04,62544,0,0,202505,18,2,0,0,0,5
1,2010-09-04,44695,0,0,202505,18,2,0,0,0,35
1,2010-04-16,20110,0,0,202505,18,2,0,0,0,15
1,2010-04-23,19254,0,0,202505,17,2,0,0,0,16
1,2010-04-30,18597,0,0,202505,20,2,0,0,0,17
1,2010-07-05,20067,0,0,202505,23,2,0,0,0,27
1,2010-05-14,20531,0,0,202505,23,2,0,0,0,19
1,2010-05-21,17862,0,0,202505,23,2,0,0,0,20
1,2010-05-28,19758,0,0,202505,26,2,0,0,0,21
1,2010-04-06,20823,0,0,202505,26,2,0,0,0,14
1,2010-11-06,21429,0,0,202505,27,2,0,0,0,44
1,2010-06-18,21827,0,0,202505,28,2,0,0,0,24
1,2010-06-25,21047,0,0,202505,29,2,0,0,0,25
1,2010-02-07,21434,1,0,202505,26,2,0,0,0,5
1,2010-09-07,20755,0,0,202505,27,2,0,0,0,36
1,2010-07-16,21273,0,0,202505,28,2,0,0,0,28
1,2010-07-23,19162,0,0,202505,28,2,0,0,0,29
1,2010-07-30,20315,0,0,202505,27,2,0,0,0,30
1,2010-06-08,21055,0,0,202505,30,2,0,0,0,23
1,2010-08-13,19293,0,0,202505,30,2,0,0,0,32
1,2010-08-20,17996,0,0,202505,30,2,0,0,0,33
1,2010-08-27,17770,0,0,202505,29,2,0,0,0,34
1,2010-03-09,19404,0,0,202505,27,2,0,0,0,10
1,2010-10-09,19943,1,0,202505,25,2,0,0,0,40
1,2010-09-17,17864,0,0,202505,27,2,0,0,0,37
1,2010-09-24,17868,0,0,202505,24,2,0,0,0,38
1,2010-01-10,18951,0,0,202505,21,2,0,0,0,1
1,2010-08-10,22732,0,0,202505,18,2,0,0,0,32
1,2010-10-15,25429,0,0,202505,20,2,0,0,0,41
1,2010-10-22,29421,0,0,202505,21,2,0,0,0,42
1,2010-10-29,37823,0,0,202505,21,2,0,0,0,43
1,2010-05-11,34633,0,0,202505,15,2,0,0,0,19
1,2010-12-11,19905,0,0,202505,16,2,0,0,0,49
1,2010-11-19,20005,0,0,202505,11,2,0,0,0,46
1,2010-11-26,20441,1,0,202505,18,2,0,0,0,47
1,2010-03-12,24898,0,0,202505,11,2,0,0,0,10
1,2010-10-12,36300,0,0,202505,9,2,0,0,0,41
1,2010-12-17,51007,0,0,202505,11,2,0,0,0,50
1,2010-12-24,57822,0,0,202505,12,2,0,0,0,51
1,2010-12-31,19610,1,0,202505,9,2,0,0,0,52
1,2011-07-01,13951,0,0,202505,8,2,0,0,0,26
1,2011-01-14,14867,0,0,202505,3,2,0,0,0,2
1,2011-01-21,16453,0,0,202505,7,3,0,0,0,3
1,2011-01-28,17234,0,0,202505,7,3,0,0,0,4
1,2011-04-02,21182,0,0,202505,4,2,0,0,0,13
1,2011-11-02,32780,1,0,202505,4,3,0,0,0,44
1,2011-02-18,38347,0,0,202505,15,3,0,0,0,7
1,2011-02-25,16088,0,0,202505,17,3,0,0,0,8
1,2011-04-03,16806,0,0,202505,15,3,0,0,0,13
1,2011-11-03,18631,0,0,202505,14,3,0,0,0,44
1,2011-03-18,20208,0,0,202505,18,3,0,0,0,11
1,2011-03-25,18217,0,0,202505,21,3,0,0,0,12
1,2011-01-04,21313,0,0,202505,16,3,0,0,0,1
1,2011-08-04,23306,0,0,202505,21,3,0,0,0,31
1,2011-04-15,26876,0,0,202505,22,3,0,0,0,15
1,2011-04-22,54711,0,0,202505,23,3,0,0,0,16
1,2011-04-29,41404,0,0,202505,24,3,0,0,0,17
1,2011-06-05,18045,0,0,202505,18,3,0,0,0,22
1,2011-05-13,15620,0,0,202505,24,3,0,0,0,19
1,2011-05-20,15881,0,0,202505,22,3,0,0,0,20
1,2011-05-27,16479,0,0,202505,27,3,0,0,0,21
1,2011-03-06,17836,0,0,202505,28,3,0,0,0,9
1,2011-10-06,18069,0,0,202505,29,3,0,0,0,40
1,2011-06-17,17045,0,0,202505,30,3,0,0,0,24
1,2011-06-24,19347,0,0,202505,29,3,0,0,0,25
1,2011-01-07,19654,0,0,202505,30,3,0,0,0,1
1,2011-08-07,19664,0,0,202505,31,3,0,0,0,31
1,2011-07-15,19015,0,0,202505,31,3,0,0,0,28
1,2011-07-22,17853,0,0,202505,31,3,0,0,0,29
1,2011-07-29,16718,0,0,202505,32,3,0,0,0,30
1,2011-05-08,18415,0,0,202505,33,3,0,0,0,18
1,2011-12-08,16807,0,0,202505,32,3,0,0,0,49
1,2011-08-19,17368,0,0,202505,31,3,0,0,0,33
1,2011-08-26,15663,0,0,202505,32,3,0,0,0,34
1,2011-02-09,17188,0,0,202505,32,3,0,0,0,6
1,2011-09-09,18434,1,0,202505,26,3,0,0,0,36
1,2011-09-16,18084,0,0,202505,29,3,0,0,0,37
1,2011-09-23,18053,0,0,202505,25,3,0,0,0,38
1,2011-09-30,19981,0,0,202505,28,3,0,0,0,39
1,2011-07-10,22434,0,0,202505,23,3,0,0,0,27
1,2011-10-14,23999,0,0,202505,21,3,0,0,0,41
1,2011-10-21,28163,0,0,202505,20,3,0,0,0,42
1,2011-10-28,36773,0,0,202505,20,3,0,0,0,43
1,2011-04-11,41107,0,0,202505,14,3,0,0,0,15
1,2011-11-11,17870,0,0,202505,16,3,2173,123,3108,45
1,2011-11-18,20454,0,0,202505,17,3,304,205,687,46
1,2011-11-25,21803,1,0,202505,17,3,171,83192,15,47
