Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown2,MarkDown3,MarkDown4,Week
1,2010-05-02,40212,0,1,126512,12,2,0,0,0,17
1,2010-12-02,67699,1,1,126512,9,2,0,0,0,48
1,2010-02-19,49748,0,1,126512,14,2,0,0,0,7
1,2010-02-26,33601,0,1,126512,11,2,0,0,0,8
1,2010-05-03,36572,0,1,126512,13,2,0,0,0,18
1,2010-12-03,36380,0,1,126512,11,3,0,0,0,48
1,2010-03-19,38252,0,1,126512,16,3,0,0,0,11
1,2010-03-26,51956,0,1,126512,15,2,0,0,0,12
1,2010-02-04,131853,0,1,126512,17,3,0,0,0,5
1,2010-09-04,89207,0,1,126512,18,3,0,0,0,35
1,2010-04-16,29765,0,1,126512,20,3,0,0,0,15
1,2010-04-23,27082,0,1,126512,19,3,0,0,0,16
1,2010-04-30,27592,0,1,126512,20,3,0,0,0,17
1,2010-07-05,29819,0,1,126512,21,3,0,0,0,27
1,2010-05-14,30021,0,1,126512,23,3,0,0,0,19
1,2010-05-21,30251,0,1,126512,25,3,0,0,0,20
1,2010-05-28,29958,0,1,126512,24,3,0,0,0,21
1,2010-04-06,27739,0,1,126512,28,2,0,0,0,14
1,2010-11-06,26155,0,1,126512,32,3,0,0,0,44
1,2010-06-18,27568,0,1,126512,28,2,0,0,0,24
1,2010-06-25,26819,0,1,126512,32,3,0,0,0,25
1,2010-02-07,27233,1,1,126512,33,2,0,0,0,5
1,2010-09-07,25908,0,1,126512,32,3,0,0,0,36
1,2010-07-16,26148,0,1,126512,33,2,0,0,0,28
1,2010-07-23,25789,0,1,126512,31,3,0,0,0,29
1,2010-07-30,27036,0,1,126512,29,3,0,0,0,30
1,2010-06-08,26778,0,1,126512,30,3,0,0,0,23
1,2010-08-13,27555,0,1,126512,31,3,0,0,0,32
1,2010-08-20,27899,0,1,126512,32,3,0,0,0,33
1,2010-08-27,26362,0,1,126512,29,3,0,0,0,34
1,2010-03-09,29253,0,1,126512,28,3,0,0,0,10
1,2010-10-09,27246,1,1,126512,28,2,0,0,0,40
1,2010-09-17,31421,0,1,126512,29,3,0,0,0,37
1,2010-09-24,32100,0,1,126512,29,2,0,0,0,38
1,2010-01-10,34152,0,1,126512,30,3,0,0,0,1
1,2010-08-10,38820,0,1,126512,25,2,0,0,0,32
1,2010-10-15,44736,0,1,126512,24,3,0,0,0,41
1,2010-10-22,55322,0,1,126512,20,3,0,0,0,42
1,2010-10-29,83211,0,1,126512,20,3,0,0,0,43
1,2010-05-11,68006,0,1,126512,21,3,0,0,0,19
1,2010-12-11,32133,0,1,126512,16,3,0,0,0,49
1,2010-11-19,36220,0,1,126512,14,3,0,0,0,46
1,2010-11-26,35454,1,1,126512,12,3,0,0,0,47
1,2010-03-12,50943,0,1,126512,10,3,0,0,0,10
1,2010-10-12,73516,0,1,126512,15,3,0,0,0,41
1,2010-12-17,98617,0,1,126512,15,3,0,0,0,50
1,2010-12-24,140537,0,1,126512,13,3,0,0,0,51
1,2010-12-31,32728,1,1,126512,9,3,0,0,0,52
1,2011-07-01,26041,0,1,126512,6,3,0,0,0,26
1,2011-01-14,27859,0,1,126512,9,3,0,0,0,2
1,2011-01-21,30911,0,1,126512,13,3,0,0,0,3
1,2011-01-28,29890,0,1,126512,11,3,0,0,0,4
1,2011-04-02,36145,0,1,126512,7,3,0,0,0,13
1,2011-11-02,52118,1,1,126512,10,3,0,0,0,44
1,2011-02-18,64020,0,1,126512,16,3,0,0,0,7
1,2011-02-25,27273,0,1,126512,11,3,0,0,0,8
1,2011-04-03,30345,0,1,126512,13,3,0,0,0,13
1,2011-11-03,29924,0,1,126512,17,3,0,0,0,44
1,2011-03-18,30524,0,1,126512,21,3,0,0,0,11
1,2011-03-25,31323,0,1,126512,16,3,0,0,0,12
1,2011-01-04,31697,0,1,126512,19,3,0,0,0,1
1,2011-08-04,39469,0,1,126512,22,3,0,0,0,31
1,2011-04-15,51526,0,1,126512,16,4,0,0,0,15
1,2011-04-22,113431,0,1,126512,24,3,0,0,0,16
1,2011-04-29,89938,0,1,126512,22,4,0,0,0,17
1,2011-06-05,31605,0,1,126512,23,4,0,0,0,22
1,2011-05-13,27691,0,1,126512,23,4,0,0,0,19
1,2011-05-20,24977,0,1,126512,22,3,0,0,0,20
1,2011-05-27,23808,0,1,126512,25,3,0,0,0,21
1,2011-03-06,23772,0,1,126512,27,3,0,0,0,9
1,2011-10-06,23970,0,1,126512,29,3,0,0,0,40
1,2011-06-17,23444,0,1,126512,31,3,0,0,0,24
1,2011-06-24,23671,0,1,126512,32,3,0,0,0,25
1,2011-01-07,23895,0,1,126512,35,3,0,0,0,1
1,2011-08-07,24650,0,1,126512,31,3,0,0,0,31
1,2011-07-15,26330,0,1,126512,30,3,0,0,0,28
1,2011-07-22,25959,0,1,126512,31,3,0,0,0,29
1,2011-07-29,25612,0,1,126512,30,3,0,0,0,30
1,2011-05-08,26630,0,1,126512,32,3,0,0,0,18
1,2011-12-08,26147,0,1,126512,29,3,0,0,0,49
1,2011-08-19,25418,0,1,126512,30,3,0,0,0,33
1,2011-08-26,23953,0,1,126512,33,3,0,0,0,34
1,2011-02-09,26033,0,1,126512,33,3,0,0,0,6
1,2011-09-09,28204,1,1,126512,31,3,0,0,0,36
1,2011-09-16,32377,0,1,126512,25,3,0,0,0,37
1,2011-09-23,32582,0,1,126512,28,3,0,0,0,38
1,2011-09-30,31654,0,1,126512,27,3,0,0,0,39
1,2011-07-10,37294,0,1,126512,23,3,0,0,0,27
1,2011-10-14,39680,0,1,126512,21,3,0,0,0,41
1,2011-10-21,47792,0,1,126512,25,3,0,0,0,42
1,2011-10-28,68491,0,1,126512,22,3,0,0,0,43
1,2011-04-11,82167,0,1,126512,20,3,0,0,0,15
1,2011-11-11,32252,0,1,126512,12,3,14909,752,4320,45
1,2011-11-18,30274,0,1,126512,14,3,708,115,695,46
1,2011-11-25,37228,1,1,126512,15,3,329,141630,79,47
1,2011-02-12,48269,0,1,126512,14,3,240,4737,6615,6
1,2011-09-12,72970,0,1,126512,5,3,74,1019,5124,37
1,2011-12-16,100775,0,1,126512,10,3,337,1203,158,50
1,2011-12-23,134217,0,1,126512,9,3,77,2432,108,51
1,2011-12-30,52228,1,1,126512,9,3,104519,179,1573,52
1,2012-06-01,28520,0,1,126512,15,3,38456,39,305,22
1,2012-01-13,30107,0,1,126512,10,3,14424,1,597,2
1,2012-01-20,31180,0,1,126512,12,3,3286,1,644,3
1,2012-01-27,32559,0,1,126512,11,3,1646,0,45,4
1,2012-03-02,36444,0,1,126512,13,3,1985,174,33345,9
1,2012-10-02,50434,1,1,126512,13,3,861,66,6806,40
1,2012-02-17,74930,0,1,126512,12,3,8935,10,6330,7
