Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown2,MarkDown3,MarkDown4,Week
1,2010-05-02,17426,0,1,112238,9,2,0,0,0,17
1,2010-12-02,37734,1,1,112238,8,2,0,0,0,48
1,2010-02-19,22135,0,1,112238,12,2,0,0,0,7
1,2010-02-26,14942,0,1,112238,10,2,0,0,0,8
1,2010-05-03,17098,0,1,112238,12,2,0,0,0,18
1,2010-12-03,15535,0,1,112238,10,2,0,0,0,48
1,2010-03-19,15038,0,1,112238,15,3,0,0,0,11
1,2010-03-26,17477,0,1,112238,15,3,0,0,0,12
1,2010-02-04,43175,0,1,112238,15,3,0,0,0,5
1,2010-09-04,42083,0,1,112238,15,3,0,0,0,35
1,2010-04-16,12024,0,1,112238,18,3,0,0,0,15
1,2010-04-23,12979,0,1,112238,18,3,0,0,0,16
1,2010-04-30,12385,0,1,112238,19,3,0,0,0,17
1,2010-07-05,14070,0,1,112238,21,3,0,0,0,27
1,2010-05-14,13013,0,1,112238,20,3,0,0,0,19
1,2010-05-21,12145,0,1,112238,24,3,0,0,0,20
1,2010-05-28,12068,0,1,112238,19,3,0,0,0,21
1,2010-04-06,12955,0,1,112238,27,2,0,0,0,14
1,2010-11-06,12019,0,1,112238,32,2,0,0,0,44
1,2010-06-18,11546,0,1,112238,27,3,0,0,0,24
1,2010-06-25,11759,0,1,112238,30,3,0,0,0,25
1,2010-02-07,11280,1,1,112238,33,3,0,0,0,5
1,2010-09-07,12115,0,1,112238,32,3,0,0,0,36
1,2010-07-16,10612,0,1,112238,36,3,0,0,0,28
1,2010-07-23,11096,0,1,112238,37,3,0,0,0,29
1,2010-07-30,11640,0,1,112238,35,3,0,0,0,30
1,2010-06-08,11394,0,1,112238,33,3,0,0,0,23
1,2010-08-13,9557,0,1,112238,30,3,0,0,0,32
1,2010-08-20,10453,0,1,112238,33,3,0,0,0,33
1,2010-08-27,10119,0,1,112238,33,3,0,0,0,34
1,2010-03-09,11667,0,1,112238,28,3,0,0,0,10
1,2010-10-09,11995,1,1,112238,28,3,0,0,0,40
1,2010-09-17,12391,0,1,112238,28,3,0,0,0,37
1,2010-09-24,12965,0,1,112238,27,2,0,0,0,38
1,2010-01-10,13498,0,1,112238,29,3,0,0,0,1
1,2010-08-10,15827,0,1,112238,22,3,0,0,0,32
1,2010-10-15,17403,0,1,112238,23,2,0,0,0,41
1,2010-10-22,19433,0,1,112238,20,3,0,0,0,42
1,2010-10-29,32760,0,1,112238,16,3,0,0,0,43
1,2010-05-11,36945,0,1,112238,18,3,0,0,0,19
1,2010-12-11,11608,0,1,112238,14,3,0,0,0,49
1,2010-11-19,12815,0,1,112238,14,3,0,0,0,46
1,2010-11-26,14004,1,1,112238,8,3,0,0,0,47
1,2010-03-12,18754,0,1,112238,6,3,0,0,0,10
1,2010-10-12,24253,0,1,112238,10,3,0,0,0,41
1,2010-12-17,36307,0,1,112238,11,3,0,0,0,50
